x, u_gen, u_spec
0.000000, 0.000000, 0.000000
0.000100, 0.000900, 0.000900
0.000200, 0.001798, 0.001798
0.000300, 0.002696, 0.002696
0.000400, 0.003592, 0.003592
0.000500, 0.004488, 0.004488
0.000600, 0.005383, 0.005383
0.000700, 0.006276, 0.006276
0.000800, 0.007169, 0.007169
0.000900, 0.008060, 0.008060
0.001000, 0.008951, 0.008951
0.001100, 0.009841, 0.009841
0.001200, 0.010729, 0.010729
0.001300, 0.011617, 0.011617
0.001400, 0.012504, 0.012504
0.001500, 0.013389, 0.013389
0.001600, 0.014274, 0.014274
0.001700, 0.015158, 0.015158
0.001800, 0.016041, 0.016041
0.001900, 0.016922, 0.016922
0.002000, 0.017803, 0.017803
0.002100, 0.018683, 0.018683
0.002200, 0.019562, 0.019562
0.002300, 0.020440, 0.020440
0.002400, 0.021317, 0.021317
0.002500, 0.022192, 0.022192
0.002600, 0.023067, 0.023067
0.002700, 0.023941, 0.023941
0.002800, 0.024814, 0.024814
0.002900, 0.025686, 0.025686
0.003000, 0.026557, 0.026557
0.003100, 0.027427, 0.027427
0.003200, 0.028296, 0.028296
0.003300, 0.029164, 0.029164
0.003400, 0.030032, 0.030032
0.003500, 0.030898, 0.030898
0.003600, 0.031763, 0.031763
0.003700, 0.032627, 0.032627
0.003800, 0.033491, 0.033491
0.003900, 0.034353, 0.034353
0.004000, 0.035214, 0.035214
0.004100, 0.036075, 0.036075
0.004200, 0.036934, 0.036934
0.004300, 0.037792, 0.037792
0.004400, 0.038650, 0.038650
0.004500, 0.039507, 0.039507
0.004600, 0.040362, 0.040362
0.004700, 0.041217, 0.041217
0.004800, 0.042071, 0.042071
0.004900, 0.042923, 0.042923
0.005001, 0.043775, 0.043775
0.005101, 0.044626, 0.044626
0.005201, 0.045476, 0.045476
0.005301, 0.046325, 0.046325
0.005401, 0.047173, 0.047173
0.005501, 0.048020, 0.048020
0.005601, 0.048866, 0.048866
0.005701, 0.049711, 0.049711
0.005801, 0.050555, 0.050555
0.005901, 0.051398, 0.051398
0.006001, 0.052241, 0.052241
0.006101, 0.053082, 0.053082
0.006201, 0.053923, 0.053923
0.006301, 0.054762, 0.054762
0.006401, 0.055601, 0.055601
0.006501, 0.056438, 0.056438
0.006601, 0.057275, 0.057275
0.006701, 0.058111, 0.058111
0.006801, 0.058946, 0.058946
0.006901, 0.059779, 0.059779
0.007001, 0.060612, 0.060612
0.007101, 0.061444, 0.061444
0.007201, 0.062275, 0.062275
0.007301, 0.063106, 0.063106
0.007401, 0.063935, 0.063935
0.007501, 0.064763, 0.064763
0.007601, 0.065590, 0.065590
0.007701, 0.066417, 0.066417
0.007801, 0.067242, 0.067242
0.007901, 0.068067, 0.068067
0.008001, 0.068891, 0.068891
0.008101, 0.069713, 0.069713
0.008201, 0.070535, 0.070535
0.008301, 0.071356, 0.071356
0.008401, 0.072176, 0.072176
0.008501, 0.072995, 0.072995
0.008601, 0.073813, 0.073813
0.008701, 0.074630, 0.074630
0.008801, 0.075447, 0.075447
0.008901, 0.076262, 0.076262
0.009001, 0.077077, 0.077077
0.009101, 0.077890, 0.077890
0.009201, 0.078703, 0.078703
0.009301, 0.079514, 0.079514
0.009401, 0.080325, 0.080325
0.009501, 0.081135, 0.081135
0.009601, 0.081944, 0.081944
0.009701, 0.082752, 0.082752
0.009801, 0.083559, 0.083559
0.009901, 0.084366, 0.084366
0.010001, 0.085171, 0.085171
0.010101, 0.085976, 0.085976
0.010201, 0.086779, 0.086779
0.010301, 0.087582, 0.087582
0.010401, 0.088384, 0.088384
0.010501, 0.089184, 0.089184
0.010601, 0.089984, 0.089984
0.010701, 0.090783, 0.090783
0.010801, 0.091582, 0.091582
0.010901, 0.092379, 0.092379
0.011001, 0.093175, 0.093175
0.011101, 0.093971, 0.093971
0.011201, 0.094765, 0.094765
0.011301, 0.095559, 0.095559
0.011401, 0.096352, 0.096352
0.011501, 0.097143, 0.097143
0.011601, 0.097934, 0.097934
0.011701, 0.098725, 0.098725
0.011801, 0.099514, 0.099514
0.011901, 0.100302, 0.100302
0.012001, 0.101090, 0.101090
0.012101, 0.101876, 0.101876
0.012201, 0.102662, 0.102662
0.012301, 0.103447, 0.103447
0.012401, 0.104230, 0.104230
0.012501, 0.105013, 0.105013
0.012601, 0.105796, 0.105796
0.012701, 0.106577, 0.106577
0.012801, 0.107357, 0.107357
0.012901, 0.108137, 0.108137
