x, f, u_gen, u_spec, u_LU
0.0000000000e+00, -1.0000000000e+02, 0.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00
1.0101010101e-02, -1.4039239023e+02, 1.7302439533e-01, 7.4393468299e-03, 6.8813052754e-03
2.0202020202e-02, -2.4549896405e+02, 2.4577398244e-01, -1.1160831088e-03, 1.6044110973e-02
3.0303030303e-02, -3.6900072422e+02, 3.1051378207e-01, 2.5740291122e-02, 2.7129746414e-02
4.0404040404e-02, -5.0778005635e+02, 3.6801334334e-01, 1.8526070556e-03, 3.9821982657e-02
5.0505050505e-02, -6.5909614901e+02, 4.1896828010e-01, 4.7461719501e-02, 5.3842445921e-02
6.0606060606e-02, -8.2054386488e+02, 4.6400737433e-01, 7.6568717038e-03, 6.8946506495e-02
7.0707070707e-02, -9.9001690041e+02, 5.0369899711e-01, 7.1504573923e-02, 8.4919594928e-02
8.0808080808e-02, -1.1656747978e+03, 5.3855691261e-01, 1.5331452577e-02, 1.0157390215e-01
9.0909090909e-02, -1.3459134170e+03, 5.6904552457e-01, 9.7022755773e-02, 1.1874542450e-01
1.0101010101e-01, -1.5293385137e+03, 5.9558461863e-01, 2.4136298583e-02, 1.3629131847e-01
1.1111111111e-01, -1.7147421070e+03, 6.1855364905e-01, 1.2337052188e-01, 1.5408753371e-01
1.2121212121e-01, -1.9010813499e+03, 6.3829561361e-01, 3.3509467461e-02, 1.7202669572e-01
1.3131313131e-01, -2.0874596460e+03, 6.5512055622e-01, 1.5006033061e-01, 1.9001621269e-01
1.4141414141e-01, -2.2731097813e+03, 6.6930873295e-01, 4.3029411464e-02, 2.0797658359e-01
1.5151515152e-01, -2.4573788635e+03, 6.8111347398e-01, 1.7672911299e-01, 2.2583988673e-01
1.6161616162e-01, -2.6397148820e+03, 6.9076377052e-01, 5.2384825318e-02, 2.4354843016e-01
1.7171717172e-01, -2.8196547206e+03, 6.9846661318e-01, 2.0311133014e-01, 2.6105354732e-01
1.8181818182e-01, -2.9968134722e+03, 7.0440910574e-01, 6.1350582892e-02, 2.7831452283e-01
1.9191919192e-01, -3.1708749196e+03, 7.0876037575e-01, 2.2901749215e-01, 2.9529763490e-01
2.0202020202e-01, -3.3415830617e+03, 7.1167330168e-01, 6.9768571314e-02, 3.1197530230e-01
2.1212121212e-01, -3.5087345743e+03, 7.1328607401e-01, 2.5431706753e-01, 3.2832532488e-01
2.2222222222e-01, -3.6721721085e+03, 7.1372360642e-01, 7.7532460076e-02, 3.4433020798e-01
2.3232323232e-01, -3.8317783377e+03, 7.1309881138e-01, 2.7892491826e-01, 3.5997656180e-01
2.4242424242e-01, -3.9874706749e+03, 7.1151375317e-01, 8.4575628044e-02, 3.7525456798e-01
2.5252525253e-01, -4.1391965886e+03, 7.0906069012e-01, 3.0279056243e-01, 3.9015750611e-01
2.6262626263e-01, -4.2869294532e+03, 7.0582301676e-01, 9.0861621421e-02, 4.0468133401e-01
2.7272727273e-01, -4.4306648787e+03, 7.0187611537e-01, 3.2588970154e-01, 4.1882431598e-01
2.8282828283e-01, -4.5704174656e+03, 6.9728812582e-01, 9.6376637197e-02, 4.3258669379e-01
2.9292929293e-01, -4.7062179418e+03, 6.9212064136e-01, 3.4821755861e-01, 4.4597039608e-01
3.0303030303e-01, -4.8381106378e+03, 6.8642933760e-01, 1.0112362496e-01, 4.5897878176e-01
3.1313131313e-01, -4.9661512658e+03, 6.8026454105e-01, 3.6978366202e-01, 4.7161641396e-01
3.2323232323e-01, -5.0904049673e+03, 6.7367174306e-01, 1.0511767941e-01, 4.8388886103e-01
3.3333333333e-01, -5.2109446014e+03, 6.6669206432e-01, 3.9060778104e-01, 4.9580252180e-01
3.4343434343e-01, -5.3278492458e+03, 6.5936267484e-01, 1.0838246017e-01, 5.0736447227e-01
3.5353535354e-01, -5.4412028887e+03, 6.5171717345e-01, 4.1071677716e-01, 5.1858233154e-01
3.6363636364e-01, -5.5510932879e+03, 6.4378593096e-01, 1.1094742736e-01, 5.2946414465e-01
3.7373737374e-01, -5.6576109803e+03, 6.3559640025e-01, 4.3014218166e-01, 5.4001828064e-01
3.8383838384e-01, -5.7608484238e+03, 6.2717339665e-01, 1.1284572328e-01, 5.5025334395e-01
3.9393939394e-01, -5.8608992566e+03, 6.1853935133e-01, 4.4891834754e-01, 5.6017809776e-01
4.0404040404e-01, -5.9578576603e+03, 6.0971454034e-01, 1.1411256433e-01, 5.6980139779e-01
4.1414141414e-01, -6.0518178150e+03, 6.0071729171e-01, 4.6708105430e-01, 5.7913213554e-01
4.2424242424e-01, -6.1428734356e+03, 5.9156417258e-01, 1.1478403445e-01, 5.8817918967e-01
4.3434343434e-01, -6.2311173789e+03, 5.8227015837e-01, 4.8466646844e-01, 5.9695138466e-01
4.4444444444e-01, -6.3166413147e+03, 5.7284878574e-01, 1.1489619333e-01, 6.0545745591e-01
4.5454545455e-01, -6.3995354509e+03, 5.6331229077e-01, 5.0171038218e-01, 6.1370602049e-01
4.6464646465e-01, -6.4798883081e+03, 5.5367173399e-01, 1.1448443027e-01, 6.2170555279e-01
4.7474747475e-01, -6.5577865360e+03, 5.4393711324e-01, 5.1824766866e-01, 6.2946436459e-01
4.8484848485e-01, -6.6333147673e+03, 5.3411746582e-01, 1.1358300860e-01, 6.3699058882e-01
4.9494949495e-01, -6.7065555038e+03, 5.2422096076e-01, 5.3431190481e-01, 6.4429216682e-01
5.0505050505e-01, -6.7775890302e+03, 5.1425498225e-01, 1.1222475716e-01, 6.5137683831e-01
5.1515151515e-01, -6.8464933528e+03, 5.0422620501e-01, 5.4993512278e-01, 6.5825213401e-01
5.2525252525e-01, -6.9133441588e+03, 4.9414066252e-01, 1.1044087420e-01, 6.6492537036e-01
5.3535353535e-01, -6.9782147945e+03, 4.8400380854e-01, 5.6514765955e-01, 6.7140364617e-01
5.4545454545e-01, -7.0411762573e+03, 4.7382057290e-01, 1.0826081656e-01, 6.7769384088e-01
5.5555555556e-01, -7.1022972030e+03, 4.6359541175e-01, 5.7997808033e-01, 6.8380261418e-01
5.6565656566e-01, -7.1616439627e+03, 4.5333235315e-01, 1.0571225265e-01, 6.8973640684e-01
5.7575757576e-01, -7.2192805697e+03, 4.4303503812e-01, 5.9445315694e-01, 6.9550144251e-01
5.8585858586e-01, -7.2752687946e+03, 4.3270675789e-01, 1.0282106251e-01, 7.0110373042e-01
5.9595959596e-01, -7.3296681859e+03, 4.2235048748e-01, 6.0859788632e-01, 7.0654906867e-01
6.0606060606e-01, -7.3825361173e+03, 4.1196891607e-01, 9.9611371884e-02, 7.1184304824e-01
6.1616161616e-01, -7.4339278376e+03, 4.0156447449e-01, 6.2243553763e-01, 7.1699105732e-01
6.2626262626e-01, -7.4838965253e+03, 3.9113936001e-01, 9.6105610181e-02, 7.2199828615e-01
6.3636363636e-01, -7.5324933451e+03, 3.8069555880e-01, 6.3598771913e-01, 7.2686973205e-01
6.4646464646e-01, -7.5797675061e+03, 3.7023486622e-01, 9.2324584550e-02, 7.3161020472e-01
6.5656565657e-01, -7.6257663219e+03, 3.5975890511e-01, 6.4927445799e-01, 7.3622433173e-01
6.6666666667e-01, -7.6705352707e+03, 3.4926914243e-01, 8.8287564108e-02, 7.4071656403e-01
6.7676767677e-01, -7.7141180561e+03, 3.3876690416e-01, 6.6231428780e-01, 7.4509118160e-01
6.8686868687e-01, -7.7565566679e+03, 3.2825338892e-01, 8.4012369829e-02, 7.4935229910e-01
6.9696969697e-01, -7.7978914424e+03, 3.1772968016e-01, 6.7512434000e-01, 7.5350387151e-01
7.0707070707e-01, -7.8381611219e+03, 3.0719675722e-01, 7.9515466748e-02, 7.5754969968e-01
7.1717171717e-01, -7.8774029136e+03, 2.9665550537e-01, 6.8772043626e-01, 7.6149343592e-01
7.2727272727e-01, -7.9156525471e+03, 2.8610672482e-01, 7.4812055994e-02, 7.6533858941e-01
7.3737373737e-01, -7.9529443313e+03, 2.7555113890e-01, 7.0011717972e-01, 7.6908853158e-01
